Category,ProductPrice,Quantity,PaymentMethod,CustomerAge,CustomerGender,CustomerPurchaseHistory,CustomerReturnHistory,ProductRating,Product_Warranty,ShippingMode,DiscountApplied,return_rate,effective_price,is_high_value,discount_price_ratio,is_low_rated,rating_risk_score,is_bulk_order,age_group,risk_score,Return_Risk
7,7416.19,1,3,18,2,1,1,2.2,2,0,39.44,1.0,4491.24,0,0.005317,1,2.8,0,0,5.0,0
4,9461.76,2,3,31,0,55,39,2.2,1,1,41.08,0.7091,5574.87,0,0.004341,1,1.9855,0,1,5.1273,0
1,25535.67,6,4,60,2,47,16,2.4,1,0,28.5,0.3404,18258.0,1,0.001116,1,0.885,1,3,5.0212,0
7,16277.34,4,2,50,0,19,18,4.9,1,0,30.79,0.9474,11265.55,0,0.001891,0,0.0947,1,3,3.8422,0
6,26903.78,7,0,65,2,33,19,2.9,3,0,11.36,0.5758,23847.51,1,0.000422,1,1.2092,1,3,5.7274,0
8,31902.4,2,4,38,2,98,53,2.3,2,1,42.86,0.5408,18229.03,1,0.001343,1,1.4602,0,2,5.6224,0
5,6667.35,2,0,58,2,17,5,4.4,1,1,28.62,0.2941,4759.15,0,0.004292,0,0.1765,0,3,0.8823,0
2,36315.03,7,2,65,1,69,49,1.8,3,1,22.08,0.7101,28296.67,1,0.000608,1,2.2723,1,3,6.1303,0
3,36265.83,7,4,64,2,58,49,4.7,0,1,19.2,0.8448,29302.79,1,0.000529,0,0.2534,1,3,4.5344,0
7,6463.89,4,1,53,0,37,35,4.4,3,1,8.9,0.9459,5888.6,0,0.001377,0,0.5675,1,3,3.8377,1
3,27584.27,5,4,65,0,25,19,5.0,2,0,34.4,0.76,18095.28,1,0.001247,0,0.0,1,3,4.28,0
2,9805.63,1,4,63,1,59,22,2.5,2,1,42.41,0.3729,5647.06,0,0.004325,1,0.9322,0,3,4.1187,0
4,24348.68,3,3,23,0,59,2,1.1,0,1,18.64,0.0339,19810.09,0,0.000766,1,0.1322,0,0,2.1017,0
0,22284.49,5,1,36,1,72,51,3.1,0,1,41.21,0.7083,13101.05,0,0.001849,0,1.3458,1,2,4.1249,0
8,16083.79,4,2,36,2,55,25,2.7,3,0,1.19,0.4545,15892.39,0,7.4e-05,1,1.0454,1,2,4.3635,0
4,4438.74,1,3,65,0,96,62,4.1,2,0,7.35,0.6458,4112.49,0,0.001656,0,0.5812,0,3,1.9374,0
7,49918.36,5,0,28,0,57,22,1.5,3,0,27.77,0.386,36056.03,1,0.000556,1,1.351,1,1,5.158,1
8,48880.46,7,3,62,1,40,26,4.1,3,0,21.22,0.65,38508.03,1,0.000434,0,0.585,1,3,3.95,1
7,173.25,7,2,25,0,47,19,3.7,2,1,32.49,0.4043,116.96,0,0.186456,0,0.5256,1,0,2.2129,1
5,32031.21,2,0,22,1,20,19,2.8,0,0,16.34,0.95,26797.31,1,0.00051,1,2.09,0,0,5.85,0
0,8980.43,5,1,41,2,29,20,2.0,1,0,9.98,0.6897,8084.18,0,0.001111,1,2.0691,1,2,5.0691,1
6,14567.57,1,2,21,1,87,87,4.3,0,1,35.54,1.0,9390.26,0,0.002439,0,0.7,0,0,3.0,0
6,11081.67,6,1,65,1,41,20,1.9,3,0,14.12,0.4878,9516.94,0,0.001274,1,1.5122,1,3,4.4634,0
7,2074.54,2,4,39,0,76,3,2.1,0,0,11.3,0.0395,1840.12,0,0.005444,1,0.1146,0,2,2.1185,0
0,41919.91,7,4,59,1,76,2,4.8,3,1,28.52,0.0263,29964.35,1,0.00068,0,0.0053,1,3,2.0789,0
8,31529.43,6,3,61,2,32,26,4.8,1,1,33.5,0.8125,20967.07,1,0.001062,0,0.1625,1,3,4.4375,0
3,7403.65,3,0,20,1,94,91,3.6,1,0,31.98,0.9681,5035.96,0,0.004319,0,1.3553,0,0,2.9043,0
2,16326.9,3,0,52,2,37,28,2.6,1,0,9.36,0.7568,14798.7,0,0.000573,1,1.8163,0,3,4.2704,0
5,25942.37,1,1,46,0,77,9,2.1,1,0,0.3,0.1169,25864.54,1,1.2e-05,1,0.339,0,3,3.3507,0
1,14081.07,2,0,46,1,47,19,3.7,3,0,6.67,0.4043,13141.86,0,0.000474,0,0.5256,0,3,1.2129,0
6,24045.15,2,2,56,2,4,3,2.2,1,0,2.86,0.75,23357.46,0,0.000119,1,2.1,0,3,4.25,0
8,6211.06,1,0,57,0,24,17,1.5,2,0,6.75,0.7083,5791.81,0,0.001087,1,2.479,0,3,4.1249,0
8,19260.35,4,0,42,2,67,61,3.0,1,0,31.21,0.9104,13249.19,0,0.00162,0,1.8208,1,2,3.7312,0
3,15369.96,6,4,31,0,40,31,4.9,2,1,32.86,0.775,10319.39,0,0.002138,0,0.0775,1,1,3.325,1
3,15099.65,1,2,56,2,51,0,2.9,3,0,25.02,0.0,11321.72,0,0.001657,1,0.0,0,3,2.0,0
3,31806.34,3,4,29,2,75,28,1.2,1,0,26.7,0.3733,23314.05,1,0.000839,1,1.4185,0,1,4.1199,0
3,45835.84,2,1,29,1,100,67,3.9,1,1,27.76,0.67,33111.81,1,0.000606,0,0.737,0,1,3.01,0
4,46479.11,6,2,27,1,13,3,4.9,2,1,3.95,0.2308,44643.19,1,8.5e-05,0,0.0231,1,1,2.6924,0
4,8683.01,5,0,53,2,79,67,3.2,1,1,23.23,0.8481,6665.95,0,0.002675,0,1.5266,1,3,3.5443,0
4,10762.97,7,2,52,1,41,11,4.1,0,0,21.42,0.2683,8457.54,0,0.00199,0,0.2415,1,3,1.8049,0
5,34930.96,7,4,58,1,99,0,1.7,3,0,10.85,0.0,31140.95,1,0.000311,1,0.0,1,3,4.0,0
6,7046.17,7,4,63,0,63,37,4.4,2,0,1.6,0.5873,6933.43,0,0.000227,0,0.3524,1,3,2.7619,0
0,31448.77,3,3,57,2,53,49,2.9,1,0,46.08,0.9245,16957.18,1,0.001465,1,1.9414,0,3,6.7735,0
1,27719.66,6,1,65,1,81,44,3.6,3,0,5.02,0.5432,26328.13,1,0.000181,0,0.7605,1,3,3.6296,0
7,44022.42,6,2,64,1,76,58,2.5,0,0,16.51,0.7632,36754.32,1,0.000375,1,1.908,1,3,6.2896,0
3,9049.74,6,2,28,0,90,42,3.6,0,1,29.9,0.4667,6343.87,0,0.003304,0,0.6534,1,1,2.4001,0
1,11442.6,6,1,25,1,16,7,4.6,0,1,46.16,0.4375,6160.7,0,0.004034,0,0.175,1,0,3.3125,0
3,44098.98,6,3,41,0,69,8,3.1,3,0,14.77,0.1159,37585.56,1,0.000335,0,0.2202,1,2,2.3477,0
2,42836.04,4,4,41,0,80,38,4.3,1,1,41.37,0.475,25114.77,1,0.000966,0,0.3325,1,2,4.425,0
6,45479.99,3,3,62,1,60,58,3.5,0,1,1.4,0.9667,44843.27,1,3.1e-05,0,1.45,0,3,3.9001,0
6,37530.93,5,0,54,0,47,26,3.0,1,1,7.98,0.5532,34535.96,1,0.000213,0,1.1064,1,3,3.6596,0
1,29906.92,1,0,24,1,31,23,2.6,0,0,42.55,0.7419,17181.53,1,0.001423,1,1.7806,0,0,6.2257,0
7,22260.73,2,4,45,0,67,12,1.7,0,0,16.66,0.1791,18552.09,0,0.000748,1,0.591,0,2,2.5373,0
7,29037.48,1,2,64,2,6,1,3.7,3,0,43.15,0.1667,16507.81,1,0.001486,0,0.2167,0,3,2.5001,0
2,38607.03,7,1,22,1,45,36,2.0,2,1,20.1,0.8,30847.02,1,0.000521,1,2.4,1,0,6.4,1
6,18474.71,2,0,63,0,96,59,4.0,2,1,37.22,0.6146,11598.42,0,0.002015,0,0.6146,0,3,1.8438,0
3,42501.82,7,0,49,0,70,6,4.1,0,1,47.17,0.0857,22453.71,1,0.00111,0,0.0771,1,3,3.2571,0
6,30700.11,6,4,23,1,100,31,3.5,2,1,35.28,0.31,19869.11,1,0.001149,0,0.465,1,0,2.93,0
8,36798.77,1,0,65,0,55,39,3.9,0,1,39.29,0.7091,22340.53,1,0.001068,0,0.78,0,3,3.1273,1
7,1476.32,5,2,46,0,28,23,1.9,3,0,13.22,0.8214,1281.15,0,0.008949,1,2.5463,1,3,5.4642,1
5,46961.97,1,1,46,2,6,5,2.3,2,0,42.33,0.8333,27082.97,1,0.000901,1,2.2499,0,3,6.4999,0
2,11844.59,6,3,26,2,11,4,2.0,3,1,5.82,0.3636,11155.23,0,0.000491,1,1.0908,1,1,4.0908,0
5,48101.33,7,1,32,1,77,69,4.2,1,1,44.09,0.8961,26893.45,1,0.000917,0,0.7169,1,1,5.6883,0
0,30174.49,5,2,50,0,14,0,4.3,3,1,33.22,0.0,20150.52,1,0.001101,0,0.0,1,3,2.0,0
1,26681.43,5,3,36,0,40,16,1.6,2,1,5.04,0.4,25336.69,1,0.000189,1,1.36,1,2,5.2,0
8,44476.71,3,0,52,1,20,13,1.9,0,0,42.76,0.65,25458.47,1,0.000961,1,2.015,0,3,5.95,0
1,19431.88,2,1,62,2,91,73,1.2,2,1,11.14,0.8022,17267.17,0,0.000573,1,3.0484,0,3,4.4066,0
1,23778.62,2,0,55,2,62,3,4.8,3,0,49.89,0.0484,11915.47,0,0.002098,0,0.0097,0,3,1.1452,0
0,38683.18,7,4,34,1,68,30,3.7,0,1,30.63,0.4412,26834.52,1,0.000792,0,0.5736,1,1,3.3236,0
8,22959.68,6,1,43,2,46,19,1.6,2,1,24.68,0.413,17293.23,0,0.001075,1,1.4042,1,2,4.239,0
3,21447.11,1,4,48,1,7,0,1.7,3,1,19.92,0.0,17174.85,0,0.000929,1,0.0,0,3,2.0,0
8,8642.95,3,2,36,2,21,20,4.8,2,1,4.32,0.9524,8269.57,0,0.0005,0,0.1905,0,2,2.8572,0
5,40103.49,4,2,52,1,70,29,3.3,0,0,17.47,0.4143,33097.41,1,0.000436,0,0.7043,1,3,3.2429,0
7,17497.33,2,1,31,1,95,77,3.2,3,1,48.49,0.8105,9012.87,0,0.002771,0,1.4589,0,1,3.4315,0
1,39268.56,6,1,19,2,78,47,1.7,0,1,38.21,0.6026,24264.04,1,0.000973,1,1.9886,1,0,5.8078,0
5,40283.93,7,3,45,1,70,21,1.5,1,1,3.98,0.3,38680.63,1,9.9e-05,1,1.05,1,2,4.9,1
6,26450.62,2,2,53,2,85,41,2.6,2,1,8.48,0.4824,24207.61,1,0.000321,1,1.1578,0,3,4.4472,0
2,12089.78,2,1,25,1,8,2,4.4,1,1,42.27,0.25,6979.43,0,0.003496,0,0.15,0,0,1.75,0
2,26749.5,4,3,38,1,64,50,1.0,1,1,43.68,0.7812,15065.32,1,0.001633,1,3.1248,1,2,7.3436,0
2,32097.85,4,3,33,2,21,17,2.1,1,0,15.07,0.8095,27260.7,1,0.000469,1,2.3476,1,1,6.4285,0
1,4128.21,1,1,57,2,64,32,2.4,3,0,25.87,0.5,3060.24,0,0.006265,1,1.3,0,3,3.5,0
6,45777.12,3,1,20,1,47,34,4.6,2,0,32.92,0.7234,30707.29,1,0.000719,0,0.2894,0,0,3.1702,0
8,7920.06,4,0,23,1,9,0,1.4,2,0,6.4,0.0,7413.18,0,0.000808,1,0.0,1,0,3.0,0
3,6250.76,1,4,58,1,42,15,3.0,3,1,23.93,0.3571,4754.95,0,0.003828,0,0.7142,0,3,1.0713,0
0,9743.9,6,3,46,2,66,19,3.4,2,1,43.32,0.2879,5522.84,0,0.004445,0,0.4606,1,3,2.8637,0
2,36171.32,1,3,52,2,66,6,3.8,3,1,17.86,0.0909,29711.12,1,0.000494,0,0.1091,0,3,1.2727,0
4,49953.61,5,1,35,2,50,21,3.3,0,1,18.78,0.42,40572.32,1,0.000376,0,0.714,1,1,3.26,0
7,44739.02,4,1,49,0,9,1,4.8,2,0,8.26,0.1111,41043.58,1,0.000185,0,0.0222,1,3,2.3333,0
0,46279.2,2,3,35,1,84,21,3.4,2,1,0.12,0.25,46223.66,1,3e-06,0,0.4,0,1,1.75,0
5,12510.91,5,1,49,1,1,1,3.9,2,0,14.97,1.0,10638.03,0,0.001196,0,1.1,1,3,4.0,0
0,9671.63,3,4,18,0,40,2,1.2,3,1,40.85,0.05,5720.77,0,0.004223,1,0.19,0,0,3.15,0
7,421.02,5,3,33,2,39,31,2.0,1,0,9.26,0.7949,382.03,0,0.021942,1,2.3847,1,1,5.3847,0
1,3016.95,1,2,25,1,76,12,4.5,2,0,30.75,0.1579,2089.24,0,0.010189,0,0.079,0,0,0.4737,1
4,19328.29,3,3,19,1,53,17,2.9,0,1,46.93,0.3208,10257.52,0,0.002428,1,0.6737,0,0,3.9624,1
3,30254.16,3,3,21,0,79,54,2.4,3,0,14.5,0.6835,25867.31,1,0.000479,1,1.7771,0,0,5.0505,0
6,20139.86,5,2,64,2,83,36,2.0,3,0,4.94,0.4337,19144.95,0,0.000245,1,1.3011,1,3,4.3011,0
1,36874.9,5,3,52,2,6,0,4.3,2,1,39.77,0.0,22209.75,1,0.001078,0,0.0,1,3,2.0,0
3,6561.3,3,4,25,0,8,2,3.5,0,1,33.87,0.25,4338.99,0,0.005161,0,0.375,0,0,0.75,0
3,25875.35,1,0,63,2,46,46,4.9,3,1,7.31,1.0,23983.86,1,0.000282,0,0.1,0,3,4.0,0
1,16347.29,3,4,26,0,28,4,3.0,2,1,30.87,0.1429,11300.88,0,0.001888,0,0.2858,0,1,0.4287,1
3,20685.15,6,2,62,2,87,66,2.6,3,0,5.64,0.7586,19518.51,0,0.000273,1,1.8206,1,3,5.2758,0
0,34607.49,6,4,48,1,96,37,1.2,2,0,17.24,0.3854,28641.16,1,0.000498,1,1.4645,1,3,5.1562,0
7,23305.48,6,0,22,1,12,8,1.3,2,0,11.52,0.6667,20620.69,0,0.000494,1,2.4668,1,0,5.0001,1
5,38030.08,1,1,55,0,24,19,2.9,0,1,3.3,0.7917,36775.09,1,8.7e-05,1,1.6626,0,3,5.3751,0
7,23910.39,5,2,24,1,87,74,3.3,0,0,20.22,0.8506,19075.71,0,0.000846,0,1.446,1,0,3.5518,0
8,2220.12,7,4,48,2,18,8,1.2,2,0,8.18,0.4444,2038.51,0,0.003683,1,1.6887,1,3,4.3332,1
4,17956.49,5,2,55,2,26,21,3.3,1,0,33.28,0.8077,11980.57,0,0.001853,0,1.3731,1,3,3.4231,0
6,15589.04,6,1,57,1,22,15,2.8,1,0,37.01,0.6818,9819.54,0,0.002374,1,1.5,1,3,5.0454,0
5,2767.7,4,2,30,0,59,52,4.1,1,1,22.15,0.8814,2154.65,0,0.008,0,0.7933,1,1,3.6442,0
2,31465.99,1,3,27,1,12,4,1.9,3,1,37.99,0.3333,19512.06,1,0.001207,1,1.0332,0,1,3.9999,0
2,37367.6,7,3,53,1,56,0,2.2,2,1,16.35,0.0,31258.0,1,0.000438,1,0.0,1,3,4.0,0
3,3346.23,2,2,44,2,22,2,1.3,2,0,18.06,0.0909,2741.9,0,0.005396,1,0.3363,0,2,2.2727,0
1,31272.58,3,3,51,2,10,2,1.7,3,0,37.06,0.2,19682.96,1,0.001185,1,0.66,0,3,3.6,0
2,41244.76,4,3,19,1,61,5,1.0,1,1,26.04,0.082,30504.62,1,0.000631,1,0.328,1,0,4.246,0
3,46696.86,3,3,19,1,76,42,2.2,2,0,9.86,0.5526,42092.55,1,0.000211,1,1.5473,0,0,4.6578,0
7,1079.09,4,1,54,1,96,19,4.9,0,0,3.49,0.1979,1041.43,0,0.003231,0,0.0198,1,3,1.5937,0
1,11132.92,1,3,32,2,9,7,4.1,2,0,19.9,0.7778,8917.47,0,0.001787,0,0.7,0,1,2.3334,0
1,4911.19,6,3,57,2,9,6,3.1,3,1,21.46,0.6667,3857.25,0,0.004369,0,1.2667,1,3,3.0001,1
7,5641.08,2,3,40,2,33,8,1.4,3,1,19.63,0.2424,4533.74,0,0.003479,1,0.8726,0,2,2.7272,0
8,21888.3,1,3,30,1,58,35,2.9,0,1,45.37,0.6034,11957.58,0,0.002073,1,1.2671,0,1,4.8102,0
1,7637.95,5,4,29,1,57,38,2.0,1,0,5.6,0.6667,7210.22,0,0.000733,1,2.0001,1,1,5.0001,1
3,19655.39,1,1,55,0,40,39,4.3,0,0,26.18,0.975,14509.61,0,0.001332,0,0.6825,0,3,2.925,0
4,25868.04,3,1,62,0,80,65,2.4,2,0,40.22,0.8125,15463.91,1,0.001555,1,2.1125,0,3,6.4375,0
2,6329.1,5,3,35,2,60,3,4.0,1,0,35.9,0.05,4056.95,0,0.005671,0,0.05,1,1,1.15,1
3,44556.1,7,0,48,1,56,27,1.5,0,0,48.29,0.4821,23039.96,1,0.001084,1,1.6874,1,3,6.4463,1
1,39600.33,7,3,39,1,35,26,4.5,1,1,4.82,0.7429,37691.59,1,0.000122,0,0.3714,1,2,4.2287,0
0,32900.84,5,3,46,1,77,68,4.1,1,0,14.43,0.8831,28153.25,1,0.000439,0,0.7948,1,3,4.6493,1
0,10762.73,3,0,38,0,45,38,3.0,2,0,9.92,0.8444,9695.07,0,0.000922,0,1.6888,0,2,2.5332,0
1,16394.72,3,4,22,1,8,1,2.8,1,0,13.47,0.125,14186.35,0,0.000822,1,0.275,0,0,2.375,0
0,42398.62,3,3,47,1,55,52,2.0,0,1,48.05,0.9455,22026.08,1,0.001133,1,2.8365,0,3,6.8365,0
6,47518.4,2,1,51,0,70,48,3.0,2,0,7.95,0.6857,43740.69,1,0.000167,0,1.3714,0,3,3.0571,0
0,31453.91,1,4,65,1,11,9,3.9,3,1,16.26,0.8182,26339.5,1,0.000517,0,0.9,0,3,3.4546,1
8,26198.48,5,3,59,1,73,24,2.7,0,1,42.93,0.3288,14951.47,1,0.001639,1,0.7562,1,3,5.9864,1
3,23613.55,5,2,55,2,84,56,4.1,2,1,19.62,0.6667,18980.57,0,0.000831,0,0.6,1,3,3.0001,0
4,18456.09,3,1,45,2,76,1,3.7,0,1,40.99,0.0132,10890.94,0,0.002221,0,0.0172,0,2,1.0396,0
8,12208.97,4,2,28,0,72,40,1.1,1,0,31.86,0.5556,8319.19,0,0.002609,1,2.1668,1,1,4.6668,0
6,29562.03,2,3,24,0,51,49,2.7,2,0,30.8,0.9608,20456.92,1,0.001042,1,2.2098,0,0,5.8824,1
4,33177.52,4,3,43,2,42,35,4.8,0,0,17.9,0.8333,27238.74,1,0.00054,0,0.1667,1,2,4.4999,1
2,31130.98,7,2,61,1,81,17,4.5,0,0,24.7,0.2099,23441.63,1,0.000793,0,0.105,1,3,2.6297,0
8,31191.32,7,3,45,2,100,98,3.1,3,1,32.09,0.98,21182.03,1,0.001029,0,1.862,1,2,4.94,1
3,4005.47,5,4,33,0,35,13,2.9,3,1,9.04,0.3714,3643.38,0,0.002256,1,0.7799,1,1,4.1142,1
2,46569.25,7,0,39,2,39,0,4.2,1,1,5.1,0.0,44194.22,1,0.00011,0,0.0,1,2,2.0,0
6,36638.2,7,0,35,2,75,16,3.5,3,0,23.25,0.2133,28119.82,1,0.000635,0,0.3199,1,1,2.6399,0
0,43595.42,4,2,39,2,59,47,2.8,2,1,33.84,0.7966,28842.73,1,0.000776,1,1.7525,1,2,6.3898,0
2,25642.25,5,0,28,1,91,81,4.8,2,1,37.64,0.8901,15990.51,1,0.001468,0,0.178,1,1,4.6703,0
7,4027.44,2,3,58,2,6,1,2.0,1,0,20.18,0.1667,3214.7,0,0.005009,1,0.5001,0,3,2.5001,0
0,39053.05,4,3,59,2,95,57,4.7,2,1,12.89,0.6,34019.11,1,0.00033,0,0.18,1,3,3.8,1
5,25287.48,4,4,31,2,33,3,4.3,1,0,5.29,0.0909,23949.77,1,0.000209,0,0.0636,1,1,2.2727,0
2,11106.27,1,3,37,2,39,30,1.6,0,1,10.52,0.7692,9937.89,0,0.000947,1,2.6153,0,2,4.3076,0
1,17546.89,3,2,22,1,70,37,4.7,2,0,45.86,0.5286,9499.89,0,0.002613,0,0.1586,0,0,2.5858,1
0,35318.8,1,0,48,2,93,93,1.4,3,1,25.41,1.0,26344.29,1,0.000719,1,3.6,0,3,6.0,0
8,5029.02,4,3,61,1,50,25,2.4,1,1,28.29,0.5,3606.31,0,0.005624,1,1.3,1,3,4.5,0
3,30566.46,4,1,37,1,41,2,4.1,0,0,31.78,0.0488,20852.44,1,0.00104,0,0.0439,1,2,2.1464,0
7,4947.08,5,1,31,1,40,31,3.8,2,0,7.42,0.775,4580.01,0,0.0015,0,0.93,1,1,3.325,0
8,29248.09,2,3,28,2,22,10,2.5,3,1,6.69,0.4545,27291.39,1,0.000229,1,1.1362,0,1,4.3635,0
2,18998.06,1,3,46,2,10,2,3.8,3,0,4.51,0.2,18141.25,0,0.000237,0,0.24,0,3,0.6,1
4,11242.39,3,1,56,0,82,79,4.8,0,0,1.41,0.9634,11083.87,0,0.000125,0,0.1927,0,3,2.8902,1
0,20057.89,1,1,60,1,28,26,2.9,3,0,35.94,0.9286,12849.08,0,0.001792,1,1.9501,0,3,4.7858,0
0,20523.64,5,4,44,2,85,47,1.7,2,1,35.21,0.5529,13297.27,0,0.001715,1,1.8246,1,2,4.6587,1
0,4333.59,3,3,52,2,84,49,1.2,1,1,47.44,0.5833,2277.73,0,0.010945,1,2.2165,0,3,4.7499,0
7,17061.88,7,4,63,1,19,16,1.3,0,0,16.27,0.8421,14285.91,0,0.000954,1,3.1158,1,3,5.5263,0
8,30024.08,1,0,52,0,16,11,1.7,0,1,34.06,0.6875,19797.88,1,0.001134,1,2.2688,0,3,5.0625,0
0,14038.06,2,0,42,0,96,95,3.0,0,1,41.76,0.9896,8175.77,0,0.002975,0,1.9792,0,2,3.9688,0
5,30797.06,4,4,60,2,59,48,1.2,3,0,9.36,0.8136,27914.46,1,0.000304,1,3.0917,1,3,6.4408,0
3,19988.98,6,3,25,0,70,66,1.6,2,1,39.05,0.9429,12183.28,0,0.001953,1,3.2059,1,0,5.8287,1
